"case_id","domain","traffic_stratum","source_ref","source_trust_tier","model_revision","model_threshold","shadow_would_block","shadow_probability","human_label","label_confidence","evidence_type","reviewer_id","reviewed_at","evidence_refs","review_outcome","review_notes","critical_benign_stratum","deterministic_would_block","second_human_label","second_reviewer_id"
"replay-0001","bad-actor-rejected.net","user_reported","data/safe-zone.db:block_reports/7","human-reported-unverified","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.605348904","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T11:27:00+07:00","evidence/scrape_log.jsonl","unresolved","Domain resolution failed with NXDOMAIN; insufficient evidence to evaluate.","","false","",""
"replay-0002","false-positive.org","user_reported","data/safe-zone.db:block_reports/2","human-reported-unverified","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.832303349","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T11:27:00+07:00","evidence/scrape_log.jsonl","unresolved","Domain resolution failed with NXDOMAIN; insufficient evidence to evaluate.","","false","",""
"replay-0003","hacked-wordpress.info","user_reported","data/safe-zone.db:block_reports/5","human-reported-unverified","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","true","0.972107139","unknown","low","insufficient evidence","reviewer.vmc","2026-08-19T21:36:00+07:00","evidence/scrape_log.jsonl","unresolved","Domain resolution failed with NXDOMAIN; insufficient evidence to evaluate.","","false","",""
"replay-0004","malicious-phishing.com","user_reported","data/safe-zone.db:block_reports/1","human-reported-unverified","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.824027235","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T11:27:00+07:00","evidence/scrape_log.jsonl","unresolved","Domain resolution failed with NXDOMAIN; insufficient evidence to evaluate.","","false","",""
"replay-0005","old-resolved-issue.com","user_reported","data/safe-zone.db:block_reports/6","human-reported-unverified","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","true","0.915260643","unknown","low","insufficient evidence","reviewer.vmc","2026-08-19T21:39:00+07:00","evidence/scrape_log.jsonl","unresolved","Domain resolution failed with NXDOMAIN; insufficient evidence to evaluate.","","false","",""
"replay-0006","safe-login-bank.com","user_reported","data/safe-zone.db:block_reports/4","human-reported-unverified","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","true","0.933209626","unknown","low","insufficient evidence","reviewer.vmc","2026-08-19T21:42:00+07:00","evidence/scrape_log.jsonl","unresolved","Domain resolution failed with NXDOMAIN; insufficient evidence to evaluate.","","false","",""
"replay-0007","scam-crypto.net","user_reported","data/safe-zone.db:block_reports/3","human-reported-unverified","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.758832432","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T11:27:00+07:00","evidence/scrape_log.jsonl","unresolved","Domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0008","bientanls.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.001625848","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T09:55:00+07:00","evidence/scrape_log.jsonl","unresolved","Domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0009","caodangduoc.org.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.002251345","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T09:55:00+07:00","evidence/scrape_log.jsonl","unresolved","Domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0010","chopngay.com.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.000602214","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T09:56:00+07:00","evidence/scrape_log.jsonl","unresolved","Domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0011","cisco.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","false","0.002179224","benign","high","official source","reviewer.vmc","2026-08-19T21:55:00+07:00","evidence/cisco.vn.md","true_negative","Official verified Cisco Vietnam portal redirecting to cisco.com.","trusted_brand","false","",""
"replay-0012","cmclassic.com.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.001648218","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T09:56:00+07:00","evidence/scrape_log.jsonl","unresolved","Domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0013","hapiervilla.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.001326641","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T09:57:00+07:00","evidence/scrape_log.jsonl","unresolved","Domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0014","khachsanhuynhlac.com.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.001798386","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T09:57:00+07:00","evidence/scrape_log.jsonl","unresolved","Domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0015","kimnghia.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.001246203","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T10:04:00+07:00","evidence/scrape_log.jsonl","unresolved","Domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0016","lienvietucschool.edu.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","FALSE","0.000792583","unknown","low","insufficient evidence","reviewer.vmc","2026-08-21T10:30:00+07:00","evidence/scrape_log.jsonl","unresolved","Domain resolution failed with NXDOMAIN; domain expired or inactive; insufficient evidence.","","false","",""
"replay-0017","megahomes.vn","strong_safe","data/whitelist/vietnam/vietnam_websites.csv","strong-safe","4632f9ea69124591db89dfb176aacf46323c18043c7b8c8d0972c3b2f92c3bca","0.85","false","0.002219781","benign","high","verified owner","reviewer.vmc","2026-08-19T22:04:00+07:00","evidence/megahomes.vn.md","true_negative","Legitimate Vietnamese real estate company portal (Megahomes Vietnam).","","false","",""
